productId,category,material,craftType,quality,rawMaterialCost,laborCost,packagingCost,otherCost,totalCost,competitorPrice,averageMarketPrice,demandScore,sellingPrice
KS-PROD-0016,Handloom & Sarees,Chanderi Cotton,Pit Loom Weaving,Masterpiece,3560.0,4220.0,80.0,160.0,8020.0,9990.0,9220.0,1,9220.0
KS-PROD-0017,Textiles & Embroidery,Tussar Silk,Chikankari Stitching,Standard,210.0,370.0,70.0,60.0,710.0,1200.0,1250.0,10,1000.0
KS-PROD-0018,Bags & Accessories,Burlap,Jute Stitching,Standard,140.0,340.0,60.0,50.0,590.0,810.0,740.0,1,690.0
KS-PROD-0019,Handloom & Sarees,Silk Cotton,Zari Booti Work,Masterpiece,2660.0,5540.0,120.0,80.0,8400.0,12040.0,12630.0,8,10610.0
KS-PROD-0020,Bags & Accessories,Cotton Canvas,Jute Stitching,Fine Heritage,530.0,670.0,40.0,60.0,1300.0,2560.0,2340.0,9,1920.0
KS-PROD-0021,Bamboo & Cane Craft,Golden Cane,Split Cane Weaving,Fine Heritage,370.0,670.0,90.0,30.0,1160.0,1500.0,1550.0,1,1360.0
KS-PROD-0022,Bags & Accessories,Embroidered Silk,Hand Braiding,Masterpiece,750.0,930.0,70.0,60.0,1810.0,2170.0,2260.0,3,2080.0
KS-PROD-0023,Pottery & Terracotta,Clay,Blue Pottery Glazing,Fine Heritage,230.0,1010.0,100.0,90.0,1430.0,1750.0,1730.0,3,1640.0
KS-PROD-0024,Woodcraft & Carvings,Sheesham Wood,Wood Turning,Standard,590.0,470.0,60.0,90.0,1210.0,1590.0,1710.0,4,1460.0
KS-PROD-0025,Handloom & Sarees,Khadi,Jacquard Weaving,Masterpiece,3610.0,2920.0,120.0,150.0,6800.0,9620.0,9700.0,6,8380.0
KS-PROD-0026,Jewellery & Brassware,Copper Alloy,Hand Engraving,Standard,830.0,2830.0,180.0,60.0,3900.0,5970.0,6170.0,9,5110.0
KS-PROD-0027,Textiles & Embroidery,Tussar Silk,Kantha Needlework,Fine Heritage,270.0,430.0,70.0,40.0,810.0,1300.0,1220.0,9,1050.0
KS-PROD-0028,Jewellery & Brassware,Cast Brass,Lost-Wax Dokra Casting,Fine Heritage,1390.0,1540.0,170.0,90.0,3190.0,5120.0,5220.0,10,4290.0
KS-PROD-0029,Jewellery & Brassware,Copper Alloy,Hand Engraving,Standard,1050.0,2210.0,130.0,50.0,3440.0,4560.0,4720.0,3,4110.0
KS-PROD-0030,Bags & Accessories,Burlap,Jute Stitching,Standard,130.0,550.0,90.0,50.0,820.0,1190.0,1260.0,6,1050.0
KS-PROD-0031,Woodcraft & Carvings,Sheesham Wood,Jaali Latticework,Fine Heritage,920.0,1260.0,140.0,90.0,2410.0,3620.0,3480.0,4,3030.0
KS-PROD-0032,Textiles & Embroidery,Wool,Chikankari Stitching,Masterpiece,250.0,880.0,90.0,80.0,1300.0,1730.0,1870.0,3,1590.0
KS-PROD-0033,Textiles & Embroidery,Wool,Chikankari Stitching,Masterpiece,660.0,420.0,90.0,30.0,1200.0,1510.0,1570.0,1,1390.0
KS-PROD-0034,Bags & Accessories,Embroidered Silk,Hand Braiding,Standard,190.0,450.0,60.0,40.0,740.0,1010.0,1040.0,2,900.0
KS-PROD-0035,Home Decor & Brassware,Wrought Iron,Sand Casting,Standard,450.0,270.0,70.0,80.0,870.0,970.0,970.0,1,1000.0
KS-PROD-0036,Textiles & Embroidery,Wool,Chikankari Stitching,Masterpiece,230.0,860.0,40.0,20.0,1150.0,1760.0,1620.0,7,1440.0
KS-PROD-0037,Bamboo & Cane Craft,Seagrass,Split Cane Weaving,Standard,480.0,560.0,70.0,60.0,1170.0,1520.0,1560.0,2,1380.0
KS-PROD-0038,Jewellery & Brassware,Copper Alloy,Hand Engraving,Fine Heritage,3350.0,3270.0,110.0,150.0,6880.0,12090.0,11170.0,7,9420.0
KS-PROD-0039,Jewellery & Brassware,Copper Alloy,Filigree,Standard,1620.0,1550.0,210.0,140.0,3520.0,5270.0,5270.0,6,4480.0
KS-PROD-0040,Bamboo & Cane Craft,Rattan,Coiled Bamboo Weaving,Masterpiece,210.0,590.0,70.0,40.0,910.0,1260.0,1310.0,4,1120.0
KS-PROD-0041,Bamboo & Cane Craft,Golden Cane,Coiled Bamboo Weaving,Standard,200.0,360.0,90.0,20.0,670.0,1160.0,1130.0,7,930.0
KS-PROD-0042,Home Decor & Brassware,Bell Metal,Beaten Metal Hammering,Standard,160.0,460.0,90.0,70.0,780.0,1010.0,1050.0,2,920.0
KS-PROD-0043,Bags & Accessories,Golden Jute,Jute Stitching,Standard,280.0,510.0,80.0,80.0,950.0,1680.0,1590.0,10,1320.0
KS-PROD-0044,Bags & Accessories,Burlap,Hand Braiding,Standard,400.0,360.0,50.0,30.0,840.0,1300.0,1280.0,5,1090.0
KS-PROD-0045,Bamboo & Cane Craft,Seagrass,Split Cane Weaving,Standard,390.0,260.0,50.0,70.0,770.0,880.0,910.0,2,890.0
KS-PROD-0046,Woodcraft & Carvings,Teak Wood,Chisel Carving,Fine Heritage,520.0,960.0,90.0,40.0,1610.0,2600.0,2460.0,7,2110.0
KS-PROD-0047,Pottery & Terracotta,Stoneware,Terracotta Modelling,Standard,760.0,530.0,90.0,90.0,1470.0,2440.0,2320.0,7,1960.0
KS-PROD-0048,Bamboo & Cane Craft,Rattan,Coiled Bamboo Weaving,Fine Heritage,340.0,200.0,50.0,60.0,650.0,1150.0,1070.0,7,900.0
KS-PROD-0049,Woodcraft & Carvings,Sheesham Wood,Jaali Latticework,Masterpiece,800.0,430.0,110.0,40.0,1380.0,2020.0,2090.0,8,1760.0
KS-PROD-0050,Textiles & Embroidery,Organic Cotton,Block Printing,Fine Heritage,290.0,680.0,50.0,80.0,1100.0,1520.0,1630.0,7,1370.0
KS-PROD-0051,Pottery & Terracotta,Clay,Terracotta Modelling,Standard,570.0,990.0,120.0,80.0,1760.0,2120.0,2300.0,4,2020.0
KS-PROD-0052,Woodcraft & Carvings,Teak Wood,Chisel Carving,Fine Heritage,730.0,980.0,70.0,80.0,1860.0,2690.0,2610.0,6,2290.0
KS-PROD-0053,Handloom & Sarees,Mulberry Silk,Zari Booti Work,Standard,2360.0,3780.0,180.0,190.0,6510.0,10470.0,9980.0,7,8520.0
KS-PROD-0054,Handloom & Sarees,Mulberry Silk,Pit Loom Weaving,Masterpiece,4470.0,5480.0,180.0,70.0,10200.0,18460.0,18790.0,10,14860.0
KS-PROD-0055,Home Decor & Brassware,Wrought Iron,Sand Casting,Masterpiece,560.0,240.0,60.0,50.0,910.0,1610.0,1560.0,7,1280.0
KS-PROD-0056,Bags & Accessories,Cotton Canvas,Hand Braiding,Standard,390.0,580.0,50.0,70.0,1090.0,1950.0,1940.0,9,1560.0
KS-PROD-0057,Jewellery & Brassware,Silver Filigree,Lost-Wax Dokra Casting,Standard,1550.0,2300.0,210.0,140.0,4200.0,6410.0,6350.0,7,5390.0
KS-PROD-0058,Textiles & Embroidery,Organic Cotton,Block Printing,Standard,240.0,270.0,50.0,60.0,620.0,920.0,910.0,5,780.0
KS-PROD-0059,Bamboo & Cane Craft,Wild Bamboo,Coiled Bamboo Weaving,Masterpiece,410.0,620.0,50.0,50.0,1130.0,1680.0,1820.0,8,1480.0
KS-PROD-0060,Jewellery & Brassware,Dokra Bronze,Hand Engraving,Masterpiece,2260.0,4590.0,140.0,130.0,7120.0,11140.0,10570.0,6,9130.0
KS-PROD-0061,Textiles & Embroidery,Linen,Chikankari Stitching,Fine Heritage,260.0,330.0,40.0,30.0,660.0,960.0,880.0,2,800.0
KS-PROD-0062,Woodcraft & Carvings,Teak Wood,Chisel Carving,Masterpiece,720.0,1450.0,150.0,70.0,2390.0,4080.0,3810.0,5,3220.0
KS-PROD-0063,Jewellery & Brassware,Dokra Bronze,Hand Engraving,Standard,1620.0,3090.0,100.0,60.0,4870.0,6270.0,6000.0,1,5600.0
KS-PROD-0064,Woodcraft & Carvings,Rosewood,Chisel Carving,Standard,520.0,700.0,90.0,40.0,1350.0,1680.0,1560.0,1,1550.0
KS-PROD-0065,Handloom & Sarees,Silk Cotton,Zari Booti Work,Fine Heritage,1250.0,3560.0,90.0,70.0,4970.0,8840.0,9450.0,10,7310.0
KS-PROD-0066,Bamboo & Cane Craft,Wild Bamboo,Split Cane Weaving,Masterpiece,520.0,660.0,80.0,40.0,1300.0,2070.0,2020.0,8,1710.0
KS-PROD-0067,Home Decor & Brassware,Wrought Iron,Sand Casting,Masterpiece,750.0,300.0,80.0,60.0,1190.0,1690.0,1780.0,5,1500.0
KS-PROD-0068,Woodcraft & Carvings,Sheesham Wood,Chisel Carving,Standard,420.0,900.0,100.0,30.0,1450.0,2290.0,2190.0,5,1880.0
KS-PROD-0069,Bags & Accessories,Golden Jute,Jute Stitching,Fine Heritage,520.0,540.0,80.0,80.0,1220.0,1690.0,1760.0,7,1500.0
KS-PROD-0070,Woodcraft & Carvings,Sandalwood,Chisel Carving,Standard,190.0,1000.0,110.0,90.0,1390.0,2000.0,1990.0,5,1720.0
KS-PROD-0071,Jewellery & Brassware,Copper Alloy,Hand Engraving,Masterpiece,3500.0,3500.0,180.0,180.0,7360.0,10490.0,11340.0,6,9380.0
KS-PROD-0072,Bamboo & Cane Craft,Wild Bamboo,Split Cane Weaving,Masterpiece,180.0,760.0,60.0,60.0,1060.0,1480.0,1440.0,5,1280.0
KS-PROD-0073,Bags & Accessories,Golden Jute,Hand Braiding,Fine Heritage,330.0,370.0,40.0,30.0,770.0,1210.0,1250.0,7,1030.0
KS-PROD-0074,Home Decor & Brassware,Pure Brass,Beaten Metal Hammering,Standard,230.0,300.0,100.0,40.0,670.0,1100.0,1200.0,9,940.0
KS-PROD-0075,Bags & Accessories,Burlap,Jute Stitching,Standard,310.0,430.0,60.0,50.0,850.0,990.0,970.0,1,980.0
KS-PROD-0076,Jewellery & Brassware,Copper Alloy,Filigree,Fine Heritage,1410.0,4900.0,180.0,90.0,6580.0,7780.0,8430.0,3,7570.0
KS-PROD-0077,Home Decor & Brassware,Pure Brass,Sand Casting,Standard,280.0,200.0,90.0,50.0,620.0,870.0,900.0,5,770.0
KS-PROD-0078,Bags & Accessories,Burlap,Jute Stitching,Fine Heritage,400.0,400.0,90.0,50.0,940.0,1310.0,1350.0,3,1160.0
KS-PROD-0079,Home Decor & Brassware,Wrought Iron,Beaten Metal Hammering,Standard,210.0,280.0,70.0,80.0,640.0,1120.0,1120.0,8,900.0
KS-PROD-0080,Bags & Accessories,Embroidered Silk,Hand Braiding,Masterpiece,630.0,500.0,100.0,70.0,1300.0,1770.0,1840.0,4,1580.0
KS-PROD-0081,Home Decor & Brassware,Pure Brass,Beaten Metal Hammering,Masterpiece,450.0,870.0,60.0,80.0,1460.0,1810.0,1950.0,3,1700.0
KS-PROD-0082,Textiles & Embroidery,Tussar Silk,Block Printing,Standard,310.0,360.0,80.0,40.0,790.0,1020.0,960.0,3,910.0
KS-PROD-0083,Jewellery & Brassware,Silver Filigree,Filigree,Masterpiece,2900.0,1780.0,140.0,150.0,4970.0,7960.0,8150.0,9,6680.0
KS-PROD-0084,Bags & Accessories,Golden Jute,Jute Stitching,Standard,350.0,560.0,100.0,60.0,1070.0,1940.0,1840.0,7,1510.0
KS-PROD-0085,Handloom & Sarees,Khadi,Pit Loom Weaving,Masterpiece,2490.0,1530.0,140.0,60.0,4220.0,5870.0,6200.0,6,5240.0
KS-PROD-0086,Home Decor & Brassware,Terracotta,Sand Casting,Standard,130.0,540.0,70.0,30.0,770.0,1240.0,1240.0,10,1030.0
KS-PROD-0087,Jewellery & Brassware,Copper Alloy,Hand Engraving,Masterpiece,1280.0,5260.0,230.0,150.0,6920.0,9180.0,8420.0,3,7960.0
KS-PROD-0088,Jewellery & Brassware,Copper Alloy,Filigree,Fine Heritage,2540.0,2300.0,250.0,180.0,5270.0,6510.0,6360.0,2,6060.0
KS-PROD-0089,Jewellery & Brassware,Silver Filigree,Lost-Wax Dokra Casting,Masterpiece,2900.0,1430.0,230.0,170.0,4730.0,6590.0,6250.0,1,5630.0
KS-PROD-0090,Jewellery & Brassware,Dokra Bronze,Filigree,Fine Heritage,1740.0,1860.0,120.0,160.0,3880.0,5750.0,5310.0,3,4750.0
KS-PROD-0091,Pottery & Terracotta,Quartz Paste,Terracotta Modelling,Standard,530.0,950.0,60.0,50.0,1590.0,2190.0,2320.0,7,1970.0
KS-PROD-0092,Textiles & Embroidery,Linen,Kantha Needlework,Fine Heritage,580.0,720.0,100.0,40.0,1440.0,2320.0,2310.0,6,1920.0
KS-PROD-0093,Handloom & Sarees,Mulberry Silk,Pit Loom Weaving,Masterpiece,4270.0,6100.0,240.0,170.0,10780.0,14750.0,14880.0,6,13010.0
KS-PROD-0094,Jewellery & Brassware,Cast Brass,Hand Engraving,Fine Heritage,3270.0,3730.0,180.0,170.0,7350.0,9800.0,10190.0,6,8830.0
KS-PROD-0095,Pottery & Terracotta,Quartz Paste,Blue Pottery Glazing,Standard,570.0,850.0,100.0,80.0,1600.0,2140.0,2310.0,7,1960.0
KS-PROD-0096,Pottery & Terracotta,Quartz Paste,Terracotta Modelling,Standard,210.0,1090.0,60.0,60.0,1420.0,2480.0,2350.0,9,1960.0
KS-PROD-0097,Woodcraft & Carvings,Rosewood,Wood Turning,Standard,690.0,830.0,140.0,50.0,1710.0,2430.0,2430.0,6,2110.0
KS-PROD-0098,Bamboo & Cane Craft,Seagrass,Coiled Bamboo Weaving,Masterpiece,380.0,860.0,80.0,20.0,1340.0,1710.0,1820.0,5,1580.0
KS-PROD-0099,Bags & Accessories,Golden Jute,Jute Stitching,Masterpiece,550.0,910.0,30.0,40.0,1530.0,2070.0,2160.0,3,1860.0
KS-PROD-0100,Bamboo & Cane Craft,Golden Cane,Coiled Bamboo Weaving,Fine Heritage,510.0,630.0,70.0,40.0,1250.0,1870.0,1840.0,3,1580.0
KS-PROD-0101,Woodcraft & Carvings,Sheesham Wood,Wood Turning,Standard,240.0,590.0,130.0,70.0,1030.0,1090.0,1170.0,1,1180.0
KS-PROD-0102,Home Decor & Brassware,Pure Brass,Sand Casting,Fine Heritage,350.0,390.0,70.0,50.0,860.0,1220.0,1310.0,4,1090.0
KS-PROD-0103,Jewellery & Brassware,Copper Alloy,Filigree,Standard,960.0,2380.0,150.0,150.0,3640.0,6170.0,6170.0,8,5030.0
KS-PROD-0104,Handloom & Sarees,Chanderi Cotton,Jacquard Weaving,Standard,980.0,1750.0,190.0,130.0,3050.0,4610.0,4490.0,6,3870.0
KS-PROD-0105,Jewellery & Brassware,Copper Alloy,Filigree,Masterpiece,3040.0,5210.0,100.0,150.0,8500.0,14330.0,14950.0,9,11920.0
KS-PROD-0106,Bags & Accessories,Cotton Canvas,Hand Braiding,Fine Heritage,540.0,410.0,80.0,40.0,1070.0,1650.0,1670.0,6,1400.0
KS-PROD-0107,Woodcraft & Carvings,Rosewood,Chisel Carving,Standard,690.0,340.0,60.0,80.0,1170.0,1620.0,1580.0,3,1400.0
KS-PROD-0108,Textiles & Embroidery,Tussar Silk,Block Printing,Fine Heritage,560.0,720.0,60.0,70.0,1410.0,1930.0,1880.0,1,1680.0
KS-PROD-0109,Textiles & Embroidery,Tussar Silk,Chikankari Stitching,Masterpiece,290.0,690.0,50.0,30.0,1060.0,1830.0,1730.0,9,1450.0
KS-PROD-0110,Bamboo & Cane Craft,Rattan,Coiled Bamboo Weaving,Masterpiece,730.0,810.0,50.0,30.0,1620.0,2510.0,2550.0,5,2120.0
KS-PROD-0111,Woodcraft & Carvings,Teak Wood,Wood Turning,Masterpiece,640.0,600.0,110.0,30.0,1380.0,2170.0,2180.0,9,1820.0
KS-PROD-0112,Textiles & Embroidery,Organic Cotton,Block Printing,Fine Heritage,490.0,620.0,70.0,30.0,1210.0,1450.0,1370.0,1,1390.0
KS-PROD-0113,Pottery & Terracotta,Clay,Terracotta Modelling,Fine Heritage,730.0,890.0,90.0,50.0,1760.0,2710.0,2720.0,9,2290.0
KS-PROD-0114,Jewellery & Brassware,Copper Alloy,Filigree,Masterpiece,2530.0,2450.0,250.0,60.0,5290.0,6760.0,7060.0,4,6200.0
KS-PROD-0115,Woodcraft & Carvings,Sandalwood,Jaali Latticework,Fine Heritage,280.0,900.0,90.0,40.0,1310.0,2320.0,2300.0,9,1860.0
KS-PROD-0116,Textiles & Embroidery,Tussar Silk,Block Printing,Masterpiece,180.0,250.0,90.0,70.0,590.0,1000.0,1010.0,10,820.0
KS-PROD-0117,Home Decor & Brassware,Wrought Iron,Sand Casting,Fine Heritage,140.0,370.0,90.0,60.0,660.0,980.0,910.0,6,810.0
KS-PROD-0118,Bamboo & Cane Craft,Rattan,Split Cane Weaving,Masterpiece,200.0,840.0,80.0,30.0,1150.0,1450.0,1400.0,3,1320.0
KS-PROD-0119,Bamboo & Cane Craft,Seagrass,Split Cane Weaving,Masterpiece,750.0,680.0,40.0,30.0,1500.0,2100.0,2040.0,5,1810.0
KS-PROD-0120,Handloom & Sarees,Mulberry Silk,Jacquard Weaving,Fine Heritage,2570.0,3310.0,180.0,150.0,6210.0,12220.0,11130.0,10,9130.0
KS-PROD-0121,Textiles & Embroidery,Linen,Kantha Needlework,Fine Heritage,160.0,440.0,50.0,40.0,690.0,760.0,810.0,1,790.0
KS-PROD-0122,Bags & Accessories,Burlap,Jute Stitching,Standard,250.0,280.0,80.0,80.0,690.0,910.0,900.0,2,810.0
KS-PROD-0123,Bags & Accessories,Golden Jute,Hand Braiding,Masterpiece,560.0,460.0,60.0,30.0,1110.0,1430.0,1340.0,1,1280.0
KS-PROD-0124,Textiles & Embroidery,Tussar Silk,Chikankari Stitching,Masterpiece,260.0,410.0,60.0,50.0,780.0,1320.0,1340.0,9,1080.0
KS-PROD-0125,Jewellery & Brassware,Copper Alloy,Hand Engraving,Fine Heritage,3290.0,1330.0,190.0,100.0,4910.0,7070.0,6780.0,6,6000.0
KS-PROD-0126,Jewellery & Brassware,Silver Filigree,Filigree,Masterpiece,5280.0,4290.0,110.0,60.0,9740.0,13770.0,14110.0,3,12080.0
KS-PROD-0127,Home Decor & Brassware,Terracotta,Sand Casting,Fine Heritage,400.0,550.0,50.0,30.0,1030.0,1650.0,1590.0,9,1350.0
KS-PROD-0128,Textiles & Embroidery,Tussar Silk,Block Printing,Fine Heritage,220.0,310.0,100.0,50.0,680.0,990.0,1040.0,4,870.0
KS-PROD-0129,Jewellery & Brassware,Cast Brass,Filigree,Masterpiece,4730.0,5640.0,90.0,100.0,10560.0,16760.0,16970.0,10,14040.0
KS-PROD-0130,Woodcraft & Carvings,Teak Wood,Wood Turning,Masterpiece,1050.0,630.0,90.0,60.0,1830.0,2870.0,2790.0,4,2370.0
KS-PROD-0131,Bags & Accessories,Cotton Canvas,Jute Stitching,Fine Heritage,610.0,630.0,90.0,30.0,1360.0,2610.0,2600.0,10,2040.0
KS-PROD-0132,Jewellery & Brassware,Copper Alloy,Filigree,Masterpiece,2990.0,2170.0,110.0,140.0,5410.0,7170.0,7120.0,5,6360.0
KS-PROD-0133,Textiles & Embroidery,Tussar Silk,Chikankari Stitching,Masterpiece,680.0,430.0,80.0,40.0,1230.0,1920.0,1920.0,9,1610.0
KS-PROD-0134,Bamboo & Cane Craft,Rattan,Split Cane Weaving,Standard,270.0,330.0,60.0,40.0,700.0,800.0,870.0,2,800.0
KS-PROD-0135,Handloom & Sarees,Chanderi Cotton,Pit Loom Weaving,Standard,900.0,3740.0,160.0,170.0,4970.0,7360.0,7990.0,8,6500.0
KS-PROD-0136,Handloom & Sarees,Silk Cotton,Zari Booti Work,Standard,3050.0,2600.0,200.0,130.0,5980.0,7770.0,8070.0,2,7070.0
KS-PROD-0137,Handloom & Sarees,Silk Cotton,Pit Loom Weaving,Fine Heritage,3160.0,3540.0,90.0,180.0,6970.0,10660.0,11550.0,8,9310.0
KS-PROD-0138,Bamboo & Cane Craft,Golden Cane,Split Cane Weaving,Fine Heritage,130.0,390.0,70.0,30.0,620.0,780.0,790.0,2,710.0
KS-PROD-0139,Pottery & Terracotta,Stoneware,Terracotta Modelling,Standard,560.0,1180.0,80.0,30.0,1850.0,2400.0,2280.0,2,2130.0
KS-PROD-0140,Handloom & Sarees,Chanderi Cotton,Pit Loom Weaving,Standard,1750.0,1950.0,190.0,170.0,4060.0,7290.0,7250.0,8,5820.0
KS-PROD-0141,Woodcraft & Carvings,Teak Wood,Chisel Carving,Masterpiece,1010.0,1060.0,80.0,30.0,2180.0,3200.0,3280.0,4,2770.0
KS-PROD-0142,Jewellery & Brassware,Copper Alloy,Filigree,Fine Heritage,1850.0,4040.0,110.0,100.0,6100.0,7830.0,7990.0,1,7110.0
KS-PROD-0143,Handloom & Sarees,Chanderi Cotton,Zari Booti Work,Fine Heritage,3510.0,4590.0,150.0,200.0,8450.0,14070.0,14270.0,8,11610.0
KS-PROD-0144,Jewellery & Brassware,Cast Brass,Filigree,Fine Heritage,1270.0,3460.0,220.0,130.0,5080.0,6880.0,7030.0,6,6120.0
KS-PROD-0145,Jewellery & Brassware,Silver Filigree,Hand Engraving,Masterpiece,4240.0,2200.0,160.0,120.0,6720.0,10350.0,10370.0,6,8720.0
KS-PROD-0146,Pottery & Terracotta,Clay,Blue Pottery Glazing,Masterpiece,640.0,1140.0,120.0,40.0,1940.0,2250.0,2190.0,1,2230.0
KS-PROD-0147,Bags & Accessories,Golden Jute,Jute Stitching,Standard,190.0,440.0,60.0,80.0,770.0,1000.0,960.0,1,890.0
KS-PROD-0148,Textiles & Embroidery,Linen,Block Printing,Standard,330.0,390.0,60.0,60.0,840.0,1180.0,1280.0,4,1060.0
KS-PROD-0149,Woodcraft & Carvings,Rosewood,Wood Turning,Fine Heritage,930.0,450.0,130.0,80.0,1590.0,2370.0,2440.0,4,2040.0
KS-PROD-0150,Bags & Accessories,Cotton Canvas,Jute Stitching,Standard,440.0,350.0,90.0,50.0,930.0,1380.0,1260.0,2,1140.0
KS-PROD-0151,Textiles & Embroidery,Linen,Chikankari Stitching,Standard,320.0,280.0,50.0,30.0,680.0,970.0,960.0,3,840.0
KS-PROD-0152,Handloom & Sarees,Mulberry Silk,Pit Loom Weaving,Standard,2930.0,980.0,170.0,110.0,4190.0,7030.0,6510.0,9,5570.0
KS-PROD-0153,Handloom & Sarees,Chanderi Cotton,Zari Booti Work,Masterpiece,4250.0,3920.0,210.0,170.0,8550.0,9830.0,10060.0,2,9830.0
KS-PROD-0154,Handloom & Sarees,Khadi,Zari Booti Work,Masterpiece,3410.0,2010.0,220.0,130.0,5770.0,10260.0,9380.0,10,7930.0
KS-PROD-0155,Home Decor & Brassware,Pure Brass,Sand Casting,Masterpiece,250.0,350.0,50.0,60.0,710.0,1190.0,1170.0,6,970.0
KS-PROD-0156,Jewellery & Brassware,Cast Brass,Hand Engraving,Standard,2510.0,2610.0,100.0,100.0,5320.0,8490.0,8200.0,9,6960.0
KS-PROD-0157,Woodcraft & Carvings,Teak Wood,Wood Turning,Masterpiece,960.0,1280.0,130.0,70.0,2440.0,2960.0,2710.0,1,2810.0
KS-PROD-0158,Jewellery & Brassware,Dokra Bronze,Filigree,Fine Heritage,3090.0,1240.0,230.0,130.0,4690.0,7220.0,6780.0,5,5930.0
KS-PROD-0159,Home Decor & Brassware,Wrought Iron,Beaten Metal Hammering,Standard,380.0,220.0,60.0,50.0,710.0,1060.0,1090.0,6,910.0
KS-PROD-0160,Textiles & Embroidery,Linen,Block Printing,Standard,400.0,380.0,40.0,30.0,850.0,990.0,1030.0,2,980.0
KS-PROD-0161,Handloom & Sarees,Silk Cotton,Zari Booti Work,Fine Heritage,3920.0,2750.0,240.0,190.0,7100.0,12250.0,11670.0,6,9730.0
KS-PROD-0162,Bamboo & Cane Craft,Golden Cane,Split Cane Weaving,Masterpiece,440.0,850.0,60.0,30.0,1380.0,2360.0,2160.0,7,1850.0
KS-PROD-0163,Bamboo & Cane Craft,Seagrass,Coiled Bamboo Weaving,Standard,210.0,420.0,90.0,60.0,780.0,1220.0,1140.0,5,990.0
KS-PROD-0164,Home Decor & Brassware,Terracotta,Beaten Metal Hammering,Masterpiece,380.0,510.0,30.0,20.0,940.0,1510.0,1480.0,9,1240.0
KS-PROD-0165,Handloom & Sarees,Khadi,Jacquard Weaving,Fine Heritage,3580.0,2210.0,250.0,150.0,6190.0,6830.0,7290.0,2,7120.0
KS-PROD-0166,Textiles & Embroidery,Linen,Chikankari Stitching,Fine Heritage,500.0,300.0,70.0,50.0,920.0,1060.0,1010.0,1,1060.0
KS-PROD-0167,Bags & Accessories,Burlap,Jute Stitching,Masterpiece,710.0,330.0,100.0,40.0,1180.0,2150.0,2040.0,7,1680.0
KS-PROD-0168,Jewellery & Brassware,Silver Filigree,Filigree,Masterpiece,3470.0,4800.0,130.0,170.0,8570.0,11720.0,12470.0,6,10560.0
KS-PROD-0169,Home Decor & Brassware,Wrought Iron,Sand Casting,Masterpiece,450.0,910.0,80.0,70.0,1510.0,2300.0,2480.0,10,2010.0
KS-PROD-0170,Bags & Accessories,Cotton Canvas,Hand Braiding,Standard,430.0,260.0,70.0,60.0,820.0,1010.0,1030.0,4,940.0
